职位	薪资	工作经验	学历要求
APP开发工程师	2.5-3万/月	2年经验	本科
测试工程师（偏硬件）	0.6-1.2万/月	无需经验	本科
解决方案经理（信息化）	1.5-3.5万/月	5-7年经验	大专
NLP算法专家	2-4万/月	3-4年经验	本科
C++软件高级工程师	1.5-3万/月	5-7年经验	本科
云计算解决方案工程师（北京）	1-1.8万/月	3-4年经验	本科
BS 高级开发	15-16万/月	5-7年经验	大专
AIOps智能运维解决方案专家	1.5-2.5万/月	5-7年经验	本科
Linux邮件系统开发管理	1-1.3万/月	1年经验	本科
Linux开发工程师	0.9-1.4万/月	2年经验	本科
仿真软件二次开发工程师	1-2万/月	无需经验	本科
AI算法工程师	2-2.5万/月	3-4年经验	本科
Java开发工程师（应届)	6-8千/月	在校生/应届生	本科
数据分析师2020SSJ07	1-1.5万/月	1年经验	硕士
测试工程师（2021届毕业生）	0.8-1.4万/月	在校生/应届生	本科
算法实习生	1-1.5万/月	在校生/应届生	硕士
研发工程师	1-1.5万/月	在校生/应届生	本科
高级软件开发-后端	3-4万/月	5-7年经验	本科
高精地图众包算法高级工程师	40-70万/年	5-7年经验	本科
高级系统运维工程师 (MJ001224)	2.1-5.1万/月	5-7年经验	本科
运维工程师	6-8千/月	2年经验	本科
算法工程师	1-1.5万/月	2年经验	本科
数据中心管理系统项目经理	3-4万/月	8-9年经验	本科
Java高级开发工程师(成都）	1.5-2万/月	5-7年经验	本科
大数据开发工程师	1.8-2.2万/月	5-7年经验	本科
算法工程师	1.5-2.5万/月	3-4年经验	本科
大数据算法工程师	1.2-1.5万/月	在校生/应届生	硕士
运维工程师(005674)	0.8-1.5万/月	3-4年经验	本科
大数据开发工程师	1-2万/月	5-7年经验	大专
产品测试工程师	0.8-1.5万/月	1年经验	本科
开发工程师（人工智能方向）	1.5-2万/月	3-4年经验	本科
（北京）大数据工程师	1-1.6万/月	3-4年经验	本科
交易测试	1.1-1.3万/月	2年经验	本科
高级测试工程师	1.5-2万/月	5-7年经验	本科
帆软报表开发工程师	1.5-2万/月	3-4年经验	本科
算法工程师	1-1.5万/月	3-4年经验	本科
环保数据分析师	0.7-1.1万/月	1年经验	本科
智慧城市社区研发工程师	6-8千/月	在校生/应届生	硕士
信源豆豆技术工程师	0.8-1万/月	3-4年经验	本科
软件工程师	1-1.5万/月	2年经验	本科
软件工程师（adas）	1-1.5万/月	3-4年经验	本科
C++开发工程师	1-1.5万/月	在校生/应届生	本科
结构分析工程师	0.8-1万/月	3-4年经验	硕士
测试中高级工程师（K12教育）(J10444)	1.5-2万/月	3-4年经验	本科
数据挖掘工程师	1.1-1.2万/月	1年经验	硕士
数据仓库开发工程师	1-2万/月	3-4年经验	本科
C++开发工程师（流媒体图像处理与跟踪方向）	1.5-2.5万/月	5-7年经验	本科
测试开发工程师（致医健康）（职位编号：LZHR408）	1.8-2.5万/月	3-4年经验	本科
高级网络工程师	1-1.5万/月	3-4年经验	大专
测试工程师	1-1.4万/月	3-4年经验	本科
VIP维护工程师	1-1.5万/月	3-4年经验	本科
少儿编程教师	0.8-1.2万/月	3-4年经验	本科
Business System Consultant 业务系统顾问	1.5-2万/月	3-4年经验	本科
2020校招--芯片测试工程师	1-1.5万/月	在校生/应届生	硕士
算法工程师	1-1.5万/月	3-4年经验	大专
交付工程师	2.5-3万/月	1年经验	本科
嵌入式研发工程师	2-2.5万/月	5-7年经验	本科
大数据运维工程师	0.8-1.5万/月	3-4年经验	本科
软件开发经理	3-6万/月	8-9年经验	本科
遥感算法工程师	0.8-1万/月	1年经验	本科
系统测试工程师	1.2-3万/月	1年经验	本科
校招-软件实施工程师(J12302)	0.5-1万/月	在校生/应届生	本科
生信工程师（中高级）	1.5-2万/月	无需经验	硕士
技术支持工程师(J11203)	1.2-2万/月	3-4年经验	本科
区块链软件工程师	3-4.5万/月	5-7年经验	本科
大数据开发工程师	2-3万/月	5-7年经验	本科
软件系统预研工程师（北京）	1-1.5万/月	在校生/应届生	硕士
API/接口测试工程师	1.5-2万/月	在校生/应届生	本科
管培生-市场研究方向（北京）	1-1.5万/月	在校生/应届生	硕士
车联网平台开发工程师	0.8-1.5万/月	3-4年经验	本科
软件开发工程师	1.5-2万/月	3-4年经验	本科
Oracle DBA	1.5-2万/月	无需经验	大专
测试工程师	1-1.5万/月	1年经验	大专
java开发工程师	1.2-1.8万/月	2年经验	大专
Java游戏服务器端开发/主程	30-50万/年	5-7年经验	本科
Software Engineer	1-1.8万/月	2年经验	本科
运维开发工程师	0.6-1.1万/月	在校生/应届生	本科
高级生物信息工程师(J10838)	1-1.5万/月	1年经验	本科
上位机软件工程师（开发）	1.2-1.7万/月	3-4年经验	本科
软件配置管理工程师	1.2-2万/月	3-4年经验	本科
测试工程师	1-1.5万/月	3-4年经验	大专
软件工程师	0.8-1万/月	2年经验	本科
数据分析师（能源）	0.9-1.8万/月	2年经验	硕士
前端开发工程师	1.5-2万/月	3-4年经验	本科
资深开发工程师	2-2.5万/月	8-9年经验	本科
GIS开发工程师	1-1.5万/月	3-4年经验	本科
风控规则决策分析师-TNS	1.2-2万/月	3-4年经验	本科
PHP开发工程师	1.5-2万/月	无需经验	本科
高级运维开发工程师	20-35万/年	5-7年经验	本科
