职位	薪资	工作经验	学历要求
量化工程师	1.5-2万/月	3-4年经验	本科
大数据系统开发 (MJ000332)	2-3.5万/月	3-4年经验	本科
网络运维工程师	0.8-1.6万/月	3-4年经验	大专
web后端工程师	1.5-3万/月	5-7年经验	本科
金融账户系统测试岗	1.5-3万/月	1年经验	本科
量化策略研究员(J11743)	1-1.5万/月	1年经验	硕士
数据库运维	6-9千/月	1年经验	本科
高级开发工程师-人力资源方向	2-4万/月	5-7年经验	本科
数据分析师/数据分析高级专员	0.8-1万/月	2年经验	本科
运维leader	3.5-5万/月	5-7年经验	本科
分布式数据库研发工程师	2.5-3万/月	2年经验	本科
用户行为研究部_数据分析工程师	1.5-3万/月	1年经验	本科
资深Go后台开发工程师	2-4万/月	5-7年经验	本科
智能认知学习算法技术研发岗	12-20万/年	无需经验	硕士
前沿技术和算法管理培训生	1-1.5万/月	在校生/应届生	硕士
语音算法工程师	4-5万/月	2年经验	硕士
应用运维工程师	4.5-6千/月	2年经验	本科
人工智能算法工程师（图像）	2-4万/月	3-4年经验	硕士
软件工程师-数字轨道	1-2万/月	3-4年经验	本科
软件开发工程师（长期日本出差）	1.5-4万/月	2年经验	大专
Java开发工程师	15-20万/年	3-4年经验	本科
测试开发工程师	1.4-1.8万/月	3-4年经验	本科
研发工程师	0.6-1.2万/月	2年经验	本科
量化研究、数据分析实习生	200元/天	在校生/应届生	本科
测试工程师主管	1-1.8万/月	2年经验	本科
自动化运维工程师（DBA）	0.9-1.8万/月	5-7年经验	大专
高级视频算法工程师	2.5-3万/月	3-4年经验	本科
云计算大数据方向架构师	4-6万/月	10年以上经验	本科
量化投资研究员	1-2万/月	1年经验	硕士
Java开发工程师	1.5-5万/月	1年经验	大专
物联网嵌入式工程师	1.5-2万/月	3-4年经验	本科
数据清洗专员（实习生）	143元/天	在校生/应届生	中技
GO开发工程师	1.5-2.5万/月	3-4年经验	本科
资深数据研发工程师	3-4.5万/月	3-4年经验	本科
数据分析师***	300元/天	5-7年经验	本科
大数据开发工程师	2-4万/月	3-4年经验	本科
软件开发工程师（世界500强）	2-3.5万/月	1年经验	本科
源代码审计工程师	2-5万/月	3-4年经验	硕士
Web前端开发工程师	1-1.5万/月	3-4年经验	本科
生物信息研究员	0.8-1万/月	1年经验	本科
系统运维工程师	1-1.5万/月	5-7年经验	大专
遥感卫星数据处理算法研发工程师（高级）	1.5-1.8万/月	3-4年经验	硕士
大数据开发工程师	1-2万/月	3-4年经验	本科
图像算法工程师	0.8-2万/月	3-4年经验	大专
大数据讲师	2-3.5万/月	2年经验	本科
应届生通道-生物信息分析工程师	0.8-1万/月	在校生/应届生	本科
测试工程师	6-8千/月	在校生/应届生	本科
高级/资深数字前端设计工程师	40-80万/年	5-7年经验	本科
运维工程师	0.6-1.2万/月	3-4年经验	本科
商业数据分析实习生(J12768)	180元/天	在校生/应届生	本科
配置管理工程师	1.5-2万/月	3-4年经验	本科
Data Analytics Manager (BI)	25-45万/年	3-4年经验	本科
数字IC设计工程师（北京）	1-2万/月	3-4年经验	硕士
实习生-工业研发部门	200元/天	在校生/应届生	本科
科技管理部应用系统运维岗	1.5-2万/月	3-4年经验	本科
算法实习工程师	150元/天	在校生/应届生	硕士
Java开发工程师（涉诉）	15-25万/年	3-4年经验	本科
RPA开发工程师	1-1.5万/月	2年经验	本科
游戏测试开发工程师	2-4万/月	3-4年经验	本科
数据库工程师（DBA）	1.3-2万/月	5-7年经验	本科
编程老师	0.8-1万/月	1年经验	大专
大数据实施工程师	0.8-1.2万/月	2年经验	本科
测试经理	2.5-3.5万/月	5-7年经验	本科
好生活总部-数据管培生	1-1.5万/月	在校生/应届生	硕士
图像算法工程师	1.5-2万/月	1年经验	本科
数据挖掘分析岗	30-40万/年	3-4年经验	硕士
项目经理（大数据算法分析）	20-30万/年	5-7年经验	本科
web后端开发工程师	1.5-3万/月	5-7年经验	本科
测试工程师（21届秋招 北京）	1-1.5万/月	在校生/应届生	本科
AI Compute Architect	3-7万/月	5-7年经验	硕士
高级图像算法工程师	1.5-3万/月	2年经验	硕士
TA-渲染方向-RD04	2.5-4万/月	5-7年经验	大专
软件研发	1-2万/月	3-4年经验	本科
应用运维工程师	5-7千/月	2年经验	本科
Senior or above DevOps Developer	2-4万/月	5-7年经验	本科
（高级）SAS编程经理	1.5-3万/月	5-7年经验	本科
PHP	1-1.5万/月	5-7年经验	本科
Quantitative Researcher Analyst	20-30万/年	1年经验	硕士
运维工程师	0.8-1万/月	无需经验	大专
软件测试工程师	0.8-1万/月	1年经验	本科
区块链工程师	20-30万/年	无需经验	硕士
前端开发工程师(J10319)	1-1.5万/月	3-4年经验	本科
机器视觉技术博士	20-40万/年	在校生/应届生	博士
后端工程师（懂node.js）	1-1.3万/月	1年经验	大专
云计算研发工程师	0.8-1.2万/月	5-7年经验	本科
测试工程师	2-2.5万/月	5-7年经验	本科
安全服务工程师	1.5-2万/月	3-4年经验	本科
java 开发	1.5-2.5万/月	3-4年经验	本科
商业信息经理	1.5-2万/月	5-7年经验	本科
风险管理系统建设与数据治理岗	1.8-3.6万/月	5-7年经验	硕士
大数据开发工程师 (MJ007503)	2-3.5万/月	3-4年经验	本科
交易运营岗	0.7-1.8万/月	3-4年经验	本科
算法工程师	2.5-3万/月	3-4年经验	硕士
安全产品技术支持	0.8-1.4万/月	3-4年经验	本科
运维工程师	1-1.5万/月	2年经验	大专
UMT管培生--数据分析方向	0.8-1万/月	在校生/应届生	本科
气象算法工程师	10-25万/年	在校生/应届生	本科
测试工程师初级/高级/架构	2-6万/月	5-7年经验	本科
爬虫实习生	200元/天	在校生/应届生	本科
报表开发工程师	0.8-1.5万/月	2年经验	本科
大数据分析师	2-3万/月	3-4年经验	大专
人工智能高级工程师	2.5-3.5万/月	3-4年经验	硕士
大数据工程师（数据分析岗	1-2万/月	3-4年经验	本科
机器学习工程师	1.8-2.5万/月	1年经验	硕士
Web前端开发工程师	0.8-1.5万/月	3-4年经验	本科
前端开发工程师	1-1.5万/月	2年经验	本科
上位机工程师	1-1.5万/月	1年经验	本科
NLP算法工程师	1.5-2.5万/月	3-4年经验	本科
数据分析师	2-2.5万/月	3-4年经验	本科
生物信息研究员	2.5-3万/月	1年经验	博士
软件测试工程师	1-1.3万/月	2年经验	本科
图像算法工程师	4-5万/月	3-4年经验	大专
区块链技术研发	2-2.5万/月	2年经验	大专
软件测试工程师(J10093)	1-1.5万/月	1年经验	本科
运维开发工程师	1.5-2万/月	3-4年经验	本科
软件开发高级经理	1.5-2.5万/月	3-4年经验	本科
安全开发工程师	1.5-3万/月	5-7年经验	大专
项目经理	2-3万/月	5-7年经验	本科
强化学习算法工程师	3.5-5.5万/月	3-4年经验	硕士
生物信息工程师	1-1.2万/月	无需经验	本科
嵌入式软件工程师（单片机）	1.5-2.5万/月	3-4年经验	本科
技术支持工程师	0.6-1.5万/月	1年经验	本科
测试经理BJ	2.5-3万/月	5-7年经验	本科
测试开发工程师（白盒测试）	0.8-1.5万/月	2年经验	本科
软件工程师	0.8-1.5万/月	无需经验	本科
软件工程师（985/211）	7-9千/月	1年经验	本科
资深运维架构师（资深运维开发工程师）	2-3万/月	5-7年经验	本科
嵌入式技术工程师	1-1.5万/月	1年经验	大专
科学决策岗（blaze系统方向）	15-30万/年	5-7年经验	本科
东方捷码中心  软件工程师	0.8-1.2万/月	1年经验	本科
人工智能工程师	30-40万/年	2年经验	本科
机器学习算法工程师	1-1.5万/月	在校生/应届生	本科
机器视觉与信息处理	1.5-2万/月	3-4年经验	本科
数据建模工程师	0.9-2万/月	2年经验	大专
算法工程师	1.5-2.5万/月	3-4年经验	本科
Linux软件工程师-2021应届生(J10193)	1.5-2万/月	在校生/应届生	本科
中高级测试工程师	1.5-2万/月	3-4年经验	本科
高级数仓工程师	1.5-2万/月	3-4年经验	本科
大数据开发工程师	1-1.5万/月	3-4年经验	本科
分析咨询总监	60-80万/年	10年以上经验	本科
两融交易员	0.8-1.5万/月	3-4年经验	本科
C++工程师(J13349)	1.5-2万/月	3-4年经验	本科
点云研发实习生	2-4千/月	在校生/应届生	硕士
北京测试工程师J	1-1.8万/月	5-7年经验	大专
高级算法工程师	2-5万/月	3-4年经验	硕士
推荐算法工程师（内容方向）(006056)	3-6万/月	2年经验	本科
数据仓库工程师	1.5-2.5万/月	3-4年经验	本科
测试总监（平台产品部）	2.5-3万/月	8-9年经验	本科
高级算法工程师	2.5-3万/月	3-4年经验	本科
风控策略岗：	2-3万/月	在校生/应届生	本科
数据处理工程师	8-20万/年	无需经验	本科
行政及财务助理	1.5-2万/月	2年经验	本科
推荐算法工程师	50-80万/年	3-4年经验	本科
Linux C/C++ 研发工程师(数据库)	1-1.5万/月	2年经验	本科
高级Java工程师（北京）(001493)	2-2.5万/月	5-7年经验	本科
测试工程师	6-8千/月	1年经验	本科
运维实施工程师（经理级）	1.5-2万/月	5-7年经验	本科
软件工程师（Infra）	1.5-3万/月	2年经验	本科
爬虫开发工程师	0.8-1.1万/月	3-4年经验	大专
嵌入式开发工程师（YD-BJ）G00225	1.5-2万/月	3-4年经验	本科
高级统计师	1-1.5万/月	2年经验	本科
Java开发工程师	1-1.5万/月	3-4年经验	大专
网络运维工程师	0.6-1万/月	2年经验	大专
周末IT讲师	2000元/天	3-4年经验	本科
平台系统架构师（K8S）	1.5-2.5万/月	3-4年经验	本科
PHM工程师	12-35万/年	无需经验	硕士
智能产品技术研究岗（健康管理技术研究方向）	1.5-3万/月	5-7年经验	硕士
机器视觉算法副研究员	2-3万/月	3-4年经验	硕士
数据可视化前端	1.5-2万/月	3-4年经验	本科
高级C++软件研发工程师	1.5-2万/月	3-4年经验	本科
软件开发工程师	0.7-1.2万/月	无需经验	本科
u3d程序开发工程师	1-1.5万/月	1年经验	大专
数据分析专家	3-4万/月	无需经验	本科
生物信息工程师- 肿瘤线-北京	1-2万/月	2年经验	本科
售后实施工程师2020	0.6-1.2万/月	2年经验	大专
软件算法工程师-Z20-001(J11020)	1.5-3万/月	无需经验	硕士
深度学习算法工程师(实习生)	300元/天	在校生/应届生	硕士
算法工程师（传感器融合）	1.5-3万/月	5-7年经验	硕士
大数据研究员（国研大数据研究院）	1.5-2.5万/月	无需经验	硕士
ETL开发工程师	1.5-2.3万/月	2年经验	大专
测试工程师	0.6-1万/月	无需经验	本科
C++开发工程师	1.5-2.5万/月	5-7年经验	本科
生物信息研发工程师（医学）	1-1.5万/月	1年经验	本科
推荐算法工程师-产品技术中心 (MJ006730)	2-3万/月	1年经验	本科
数据建模工程师	2.5-3万/月	5-7年经验	本科
2021校园招聘—产品分析师岗	1-3万/月	在校生/应届生	硕士
客户服务中心-高级数据挖掘与分析工程师(J15274)	2-3万/月	5-7年经验	硕士
大数据开发工程师	2-3万/月	5-7年经验	本科
算法工程师(J10396)	1.5-2万/月	无需经验	本科
前端开发工程师	1-1.5万/月	3-4年经验	本科
高级Web前端制作工程师	1.5-2万/月	5-7年经验	大专
Devops工程师	1.5-2万/月	3-4年经验	本科
前端开发工程师	1-1.5万/月	3-4年经验	本科
中级数据分析	1-1.5万/月	3-4年经验	本科
融合定位技术高端专家	10万以上/月	10年以上经验	本科
系统运维工程师	1.5-2.5万/月	3-4年经验	大专
Senior Digital Engineer	1.8-2.2万/月	5-7年经验	本科
数据分析岗	1.5-2.5万/月	2年经验	本科
VMware 开发工程师	1.5-2万/月	3-4年经验	本科
大数据工程师（接收实习）	0.8-1万/月	在校生/应届生	本科
网络工程师	6-8千/月	2年经验	本科
运维工程师	1-1.5万/月	3-4年经验	本科
区块链高级研发工程师	1-2万/月	2年经验	本科
高级驻场运维工程师	0.8-1.2万/月	1年经验	本科
Java中级开发工程师	1-1.5万/月	3-4年经验	大专
数据模型开发工程师	0.8-1.5万/月	2年经验	本科
大数据开发工程师	0.7-1.5万/月	2年经验	本科
在校研发实习生	120元/天	在校生/应届生	本科
产品支持工程师(J12699)	1-1.5万/月	2年经验	本科
网络信息安全工程师	0.8-1万/月	3-4年经验	本科
Customer Engineer	50-60万/年	10年以上经验	本科
网络安全攻防/渗透工程师	0.7-3万/月	在校生/应届生	本科
研发工程师（毕业生）	1-2万/月	在校生/应届生	硕士
Audio Tuning software engineer	0.8-2万/月	3-4年经验	本科
计算机视觉工程师	1-1.5万/月	3-4年经验	大专
数据分析工程师	20-25万/年	2年经验	本科
区块链开发工程师（2020年应届毕业生）	0.8-1万/月	在校生/应届生	硕士
前端开发工程师	1-2万/月	2年经验	本科
Java高级开发工程师	1-2万/月	3-4年经验	本科
资深数字IC验证工程师0980	1.5-2.5万/月	3-4年经验	硕士
高级算法工程师（供应链方向）(J15539)	1.5-3万/月	3-4年经验	本科
云平台运维工程师(000920)	1.5-2万/月	3-4年经验	大专
运维开发工程师	1.5-1.9万/月	5-7年经验	本科
AI开发工程师	2-3万/月	5-7年经验	本科
安全攻防工程师	1.5-2万/月	3-4年经验	大专
智能算法工程师	1-2.5万/月	2年经验	硕士
java&.net工程师	1.5-2万/月	3-4年经验	本科
软件系统架构师	2.4-4万/月	8-9年经验	本科
大数据平台架构师	3-6万/月	8-9年经验	本科
技术研发（后端）	2.5-3.5万/月	2年经验	本科
软件测试工程师	1-1.5万/月	3-4年经验	本科
Splunk售后工程师	0.8-1.2万/月	在校生/应届生	本科
信息化运维工程师	0.6-1.2万/月	3-4年经验	本科
图像算法工程师	1-2万/月	无需经验	本科
系统运维工程师	0.8-1.5万/月	2年经验	本科
上位机软件工程师	1-1.5万/月	1年经验	本科
算法研究员（视频方向）	2-3万/月	2年经验	硕士
嵌入式系统工程师	1.5-2万/月	在校生/应届生	硕士
安卓手机测试工程师	0.6-1万/月	1年经验	本科
深度学习研发工程师	2-2.5万/月	在校生/应届生	硕士
前端开发工程师	1.5-2万/月	3-4年经验	本科
高级算法工程师	30-40万/年	5-7年经验	硕士
测试工程师	1-1.5万/月	3-4年经验	本科
技术运维工程师	0.7-1万/月	3-4年经验	大专
高级测试工程师	2-2.5万/月	3-4年经验	本科
运维工程师	0.6-1万/月	2年经验	本科
软件测试工程师	0.8-1万/月	3-4年经验	本科
纳米能源所吴治峄课题组产业化项目招聘启事	1-2万/月	2年经验	本科
软件开发工程师（北京）	20-30万/年	2年经验	硕士
数据架构模型设计师	0.8-1万/月	无需经验	大专
自然语言处理工程师	1.5-2万/月	1年经验	本科
高级数据分析专员(J10831)	0.7-1万/月	2年经验	本科
软件测试工程师	1-1.8万/月	2年经验	本科
大数据开发工程师	1.5-2万/月	5-7年经验	本科
云网络开发工程师（java方向）	1.4-2.8万/月	1年经验	本科
0931AY-数据产品经理（北京）	1.5-2万/月	1年经验	本科
研究工程师	0.9-1万/月	在校生/应届生	硕士
Android开发工程师	0.9-1.4万/月	3-4年经验	大专
大数据开发工程师	2-4万/月	2年经验	本科
安全技术支持工程师（北京）	0.8-1万/月	在校生/应届生	本科
软件原型设计师	4.5-6千/月	2年经验	大专
软件测试工程师.	1-1.5万/月	3-4年经验	本科
数据开发工程师	2.5-4万/月	3-4年经验	本科
项目经理	1-2万/月	3-4年经验	本科
后端开发工程师（JAVA）	2-3万/月	5-7年经验	本科
数据分析工程师（信息化室）	1.5-3万/月	5-7年经验	本科
初级测试工程师	0.6-1.5万/月	2年经验	大专
Technical Writer	1.5-2.5万/月	5-7年经验	本科
系统集成工程师	1-1.5万/月	2年经验	本科
数据库开发工程师	6-8千/月	2年经验	大专
数据分析/机器学习算法实习生	270元/天	在校生/应届生	硕士
Group leader - Genomics/BioinformaticsG00069	2-2.5万/月	5-7年经验	博士
企业方算法/数据挖掘工程师（new ihs）	2-3万/月	5-7年经验	本科
渗透测试工程师	0.6-1万/月	2年经验	本科
图像处理算法工程师	1.5-2.5万/月	2年经验	本科
GIS数据分析工程师	0.4-1万/月	1年经验	大专
算法工程师	1.5-2.5万/月	无需经验	硕士
数据采集工程师	1-1.5万/月	3-4年经验	本科
阿里云运维工程师Ali-Cloud Operation Engineer	2-2.5万/月	5-7年经验	大专
自动化运维专家（北京）	2.5-3.5万/月	5-7年经验	本科
云平台开发架构师	0.8-1万/月	2年经验	本科
RPA业务分析师（央企）	1.5-2万/月	3-4年经验	本科
技术支持工程师	1-1.2万/月	1年经验	本科
系统运维（运维）	0.8-1.2万/月	3-4年经验	本科
推荐算法工程师	2-3.5万/月	3-4年经验	本科
系统运维工程师	1-1.5万/月	3-4年经验	本科
安全研究员	2-4万/月	3-4年经验	本科
测试工程师	1-2万/月	3-4年经验	大专
软件工程师	1.5-2万/月	2年经验	本科
系统维护工程师	6-8千/月	2年经验	大专
高级渗透测试工程师	1.5-2.5万/月	5-7年经验	大专
数控系统物联工程师	1.5-2万/月	3-4年经验	本科
高级数据分析师	2.5-3.5万/月	5-7年经验	硕士
后端研发工程师	1.2-2.4万/月	无需经验	本科
Java开发工程师	1.5-2万/月	3-4年经验	本科
IT主管（医药行业经验）	1-1.5万/月	5-7年经验	本科
Web前端开发工程师	1-1.5万/月	无需经验	本科
软件测试工程师	1-1.5万/月	3-4年经验	本科
BI/数据分析师	1.5-3万/月	3-4年经验	本科
运维工程师	1-1.5万/月	3-4年经验	本科
运维工程师	0.8-1.2万/月	3-4年经验	本科
软件测试工程师	1-2万/月	1年经验	本科
高级后端开发工程师	1.5-2.4万/月	5-7年经验	本科
程序化策略研究岗	1.5-2万/月	3-4年经验	本科
Web前端开发工程师	2-3万/月	5-7年经验	本科
云监控平台现场服务工程师	0.6-1万/月	2年经验	本科
golang开发工程师	2-5万/月	2年经验	大专
大数据开发工程师	0.9-1.2万/月	3-4年经验	大专
资深AI算法工程师	40-80万/年	5-7年经验	硕士
课程设计-编程教研	1.5-2.5万/月	3-4年经验	本科
开发岗（大数据方向）	1.5-2万/月	2年经验	硕士
经济分析师	6-8千/月	无需经验	硕士
研发工程师	10-15万/年	2年经验	本科
测试工程师	0.8-1万/月	3-4年经验	本科
Java高级开发工程师	2-2.5万/月	2年经验	大专
语音识别工程师	1.5-4.2万/月	2年经验	本科
高级测试工程师（交通）	1-2万/月	5-7年经验	本科
大数据开发工程师	2.5-3万/月	5-7年经验	本科
软件开发工程师	1.5-2.5万/月	3-4年经验	本科
数据技术研发岗	2-3万/月	3-4年经验	本科
投资助理/投资分析师（实习）	200元/天	在校生/应届生	本科
系统工程师	0.8-1.5万/月	2年经验	本科
渗透测试工程师	1-1.5万/月	3-4年经验	本科
运维工程师	1.2-2万/月	3-4年经验	本科
急聘机械工程/地质/电气/电子/计算机/通信论文写手	0.8-1万/月	在校生/应届生	本科
C++研发工程师（2021校招北京）	1.5-1.8万/月	在校生/应届生	本科
公有云平台管控运维工程师	1.4-1.8万/月	5-7年经验	大专
高级测试工程师	1.5-3万/月	5-7年经验	本科
嵌入式开发工程师	0.8-1.5万/月	2年经验	本科
人工智能	0.8-1.5万/月	1年经验	大专
创新支持专员	0.8-1万/月	1年经验	本科
资深数字IC设计工程师	2.5-3.5万/月	5-7年经验	硕士
信息技术专员	6-8千/月	在校生/应届生	本科
数据分析师	0.8-1.3万/月	2年经验	本科
私有云系统工程师(J10588)	1.5-2万/月	3-4年经验	本科
销售顾问底薪8000/打车报销	2.5-3万/月	无需经验	大专
IT工程师	0.9-1.8万/月	3-4年经验	本科
高级研发工程师（B类）-00038	1.5-3.5万/月	1年经验	本科
38314Z-产品经理-数据方向	2-2.5万/月	5-7年经验	本科
数字化营销客户成功经理	2-3万/月	3-4年经验	本科
功能测试工程师	1.5-2.5万/月	3-4年经验	大专
预研实习生	4-6千/月	在校生/应届生	硕士
硬件系统工程师	1-1.5万/月	3-4年经验	大专
资深代码审计工程师(J11674)	1.5-3万/月	3-4年经验	大专
前端开发工程师	1-1.5万/月	2年经验	本科
机器学习实习生	80元/天	无需经验	本科
Digital Design Engineer	2-5万/月	5-7年经验	硕士
对日软件工程师	0.6-3万/月	在校生/应届生	大专
搜狗金融 - 服务端测试开发工程师	2.5-4.5万/月	5-7年经验	本科
交通数据挖掘岗	0.8-1.5万/月	在校生/应届生	本科
AI算法工程师	1-1.5万/月	1年经验	本科
区块链开发	1-1.5万/月	3-4年经验	本科
WEB前端开发工程师	1-1.5万/月	3-4年经验	本科
j服务端研发工程师	2-2.5万/月	3-4年经验	本科
标识解析工程师	15-40万/年	3-4年经验	本科
大数据开发工程师	1.5-2万/月	3-4年经验	本科
后台研发工程师	1-1.2万/月	3-4年经验	本科
风控策略经理	2.5-3万/月	5-7年经验	本科
算法工程师（运筹优化算法方向）	0.6-1万/月	2年经验	硕士
虚拟化、Linux高级运维工程师	1-1.5万/月	3-4年经验	大专
产品开发经理	1-1.5万/月	1年经验	本科
软件测试工程师	1-1.5万/月	3-4年经验	本科
CT重建算法工程师	2-2.5万/月	3-4年经验	本科
安全测试开发工程师	1.5-2.5万/月	在校生/应届生	本科
数据库(DBA)	1-2万/月	3-4年经验	大专
Web前端开发工程师	1-1.5万/月	5-7年经验	本科
高级测试工程师	2-3万/月	5-7年经验	本科
高级分布式存储开发工程师-武汉	1.6-3万/月	5-7年经验	本科
生物信息产品经理	0.8-1.2万/月	2年经验	本科
网络攻防工程师	15-25万/年	在校生/应届生	大专
机器视觉算法工程师	1-1.5万/月	1年经验	本科
数据开发工程师	0.8-1.5万/月	1年经验	大专
IS&T DevOps Engineer	1.4-1.6万/月	5-7年经验	本科
高级工业控制系统工程师（建模仿真方向）	0.8-2.5万/月	1年经验	本科
后端开发工程师	1.5-2万/月	3-4年经验	本科
产品技术支持工程师	0.8-1.6万/月	3-4年经验	本科
测试工程师（中级）	0.8-1.5万/月	3-4年经验	本科
FPGA工程师	1.5-2万/月	3-4年经验	本科
架构师（云平台方向）	2-3万/月	5-7年经验	本科
人工智能算法工程师	1.5-2.5万/月	3-4年经验	本科
后端工程师	0.6-1.2万/月	在校生/应届生	本科
对日软件工程师2020年招聘	2-5万/月	1年经验	大专
中级测试工程师	1-1.5万/月	3-4年经验	本科
Java高级开发工程师	3-4万/月	3-4年经验	本科
主机系统维护岗	25-50万/年	5-7年经验	本科
Python开发工程师	3-4.5千/月	在校生/应届生	本科
Python开发工程师	1.5-2千/月	2年经验	本科
C++python***程序员	2-3千/月	无需经验	本科
python工程师	4.5-6千/月	1年经验	大专
高级Java/Python开发工程师 （后端开发)	1.5-2.7万/月	3-4年经验	本科
高级运维工程师	1.5-2千/月	2年经验	大专
软件开发工程师（C++）	1.5-2千/月	3-4年经验	本科
软件工程师	1.5千以下/月	2年经验	本科
Java高级开发工程师	1.5-2千/月	3-4年经验	大专
嵌入式LINUX开发工程师	2-3千/月	在校生/应届生	本科
图像识别工程师	2-3千/月	5-7年经验	硕士
运维工程师	1.5千以下/月	2年经验	本科
linux网络软件工程师	1.5千以下/月	3-4年经验	本科
软件测试工程师	1.5-2千/月	3-4年经验	本科
ETL开发高级工程师	1-2万/年	3-4年经验	本科
linux C 软件工程师	1.5-2千/月	2年经验	本科
虹膜识别算法工程师	1.5-2千/月	2年经验	本科
调度策略算法专家(qQLBm0)	6-9万/月	10年以上经验	本科
运维总监	5-7万/月	8-9年经验	本科
数据分析实习生	2-3千/月	在校生/应届生	本科
高级数据工程师	1.5-2千/月	3-4年经验	本科
系统运维工程师	1.5千以下/月	1年经验	本科
数据分析师	1.5-2千/月	3-4年经验	本科
Technology-保险行业技术顾问/经理	2-2.5万/月	5-7年经验	大专
华泰人寿总公司-信息技术部-系统工程师(007055)	1.2-2万/月	3-4年经验	本科
数据分析师	1.5-2万/月	3-4年经验	本科
硬件开发工程师	1-1.5万/月	1年经验	硕士
PHP高级开发工程师	1-1.5万/月	3-4年经验	本科
急聘-python讲师	0.8-1.2万/月	1年经验	本科
资深python开发工程师	1.8-2.1万/月	3-4年经验	大专
Python教学老师	0.8-1.2万/月	1年经验	本科
Python开发	1-1.5万/月	3-4年经验	本科
python爬虫分析工程师	1-1.5万/月	2年经验	本科
python爬虫工程师	0.8-1万/月	2年经验	本科
虚拟化工程师（Python方向）	1.2-1.6万/月	3-4年经验	本科
少儿编程讲师-python	0.8-1.5万/月	无需经验	本科
Python开发工程师	1.5-3万/月	3-4年经验	本科
Python开发工程师	1.3-1.8万/月	无需经验	大专
python人工智能讲师	2-3万/月	3-4年经验	本科
python讲师	1.5-2万/月	3-4年经验	本科
Python助理数据工程师（应届-北京/成都）	4-8千/月	在校生/应届生	本科
诚聘Python数据工程师	1.5-2万/月	3-4年经验	本科
Python开发工程师 - 变现业务	2.5-4万/月	2年经验	本科
python开发工程师	2-3.5万/月	3-4年经验	本科
Python讲师	1.3-1.8万/月	3-4年经验	本科
python中级工程师	0.8-1.2万/月	2年经验	本科
少儿编程讲师（python教研）	0.9-1.3万/月	1年经验	本科
少儿编程讲师-python方向	0.8-1.3万/月	无需经验	本科
python课程研发老师	2.5-3万/月	3-4年经验	本科
少儿编程讲师（python）	0.8-1.3万/月	在校生/应届生	本科
后端开发工程师-北京	3-4.8万/月	3-4年经验	本科
安全工程师	1.4-2.3万/月	2年经验	本科
物流算法专家	2-3万/月	无需经验	本科
广告系统架构高级工程师-抖音方向	3-6万/月	无需经验	本科
电商--战略数据分析师	2-6万/月	无需经验	本科
数据架构师	2-4万/月	无需经验	本科
反作弊数据分析经理	1-2.5万/月	3-4年经验	本科
网络安全工程师	1.5-2.5万/月	5-7年经验	本科
scratch 编程讲师	0.8-1.2万/月	1年经验	本科
童程童美线上讲师+上市集团	0.8-1.2万/月	在校生/应届生	本科
Linux集群运维工程师	1.3-2.6万/月	2年经验	本科
算法工程师	1-2万/月	2年经验	本科
C/C++开发工程师	1.5-2.5万/月	3-4年经验	本科
产品验收工程师（质量管理中心）(J11932)	0.8-1万/月	1年经验	本科
数据分析挖掘工程师	0.6-1.6万/月	2年经验	本科
运维开发工程师	0.9-1.5万/月	1年经验	本科
算法工程师	20-38万/年	2年经验	本科
系统架构师	2-2.5万/月	5-7年经验	本科
Java高级开发工程师	2-2.5万/月	5-7年经验	本科
Java开发工程师	1.5-2万/月	3-4年经验	本科
Java开发工程师	2-2.5万/月	3-4年经验	本科
Java开发工程师	1.5-2万/月	3-4年经验	本科
运维开发工程师	0.8-1万/月	1年经验	本科
项目工程师（信息化）	1-2.5万/月	2年经验	大专
软件工程师（信息化）	0.7-1.5万/月	无需经验	本科
自动化测试工程师	1-2万/月	2年经验	本科
爬虫工程师	1-2万/月	3-4年经验	本科
Linux运维工程师	0.8-1.3万/月	2年经验	大专
编程讲师	0.8-1.2万/月	1年经验	本科
少儿编程讲师	0.8-1.2万/月	1年经验	本科
校园招聘-深度学习算法研究员	1.5-2万/月	在校生/应届生	本科
内容策略产品经理	2-3万/月	3-4年经验	本科
资深后端研发工程师-广告系统	2.5-5万/月	无需经验	本科
数据分析工程师	0.9-1.2万/月	3-4年经验	本科
算法工程师	2.5-4万/月	5-7年经验	本科
测试工程师	1.8-2.5万/月	3-4年经验	本科
爬虫开发工程师	1.5-2.5万/月	5-7年经验	本科
C++开发工程师	1-1.5万/月	2年经验	本科
QT开发工程师	1-1.5万/月	2年经验	本科
大数据开发工程师	1.5-3万/月	5-7年经验	本科
图形图像工程师	0.8-1万/月	在校生/应届生	本科
空气质量数据分析师	0.7-1.1万/月	1年经验	本科
前端中高级工程师（K12教育）(J10396)	1-1.5万/月	3-4年经验	本科
java中高级工程师（K12教育）(J10389)	1-1.5万/月	3-4年经验	本科
安服工程师	1-1.8万/月	2年经验	大专
安服工程师（驻场）	1.8-2.8万/月	3-4年经验	本科
QT开发工程师（音视频方向）	1.2-1.5万/月	3-4年经验	本科
测试开发工程师	1.5-3万/月	5-7年经验	本科
全栈工程师（ML框架）	1.5-2.5万/月	3-4年经验	本科
Web前端开发工程师	1-1.5万/月	3-4年经验	本科
前端开发工程师（React栈）	1-2万/月	3-4年经验	本科
2020校招--CP测试技术开发工程师	1-1.5万/月	在校生/应届生	硕士
